de;49018
la;30986
le;23252
et;19701
les;19681
à;18340
des;15189
en;13200
du;11140
qui;9149
que;9080
un;8871
dans;7688
pour;7363
une;7356
il;7061
a;6426
pas;6312
au;6292
est;6179
par;5831
plus;5156
sur;4860
ce;4686
ne;4652
se;4226
avec;3804
mais;3743
son;3666
c'est;3056
ou;3013
';3011
sont;2893
on;2761
aux;2674
comme;2666
cette;2449
ont;2340
ses;2281
elle;2217
france;2203
sa;2185
même;2118
tout;2017
d'un;1994
d'une;1950
leur;1904
nous;1895
pays;1867
fait;1844
100;1740
si;1716
sans;1707
qu'il;1701
ces;1643
deux;1643
bien;1613
y;1578
été;1564
aussi;1531
ils;1500
n'est;1468
lui;1446
être;1385
où;1343
peut;1295
width;1290
contre;1271
faire;1268
depuis;1265
dont;1261
français;1255
ans;1250
politique;1240
entre;1239
encore;1196
je;1183
moins;1164
président;1122
fancybox;1075
col_article';1075
tous;1071
avait;1069
très;1064
monde;1056
hollande;1018
leurs;996
après;989
non;955
notre;948
sous;938
françois;911
temps;900
quand;893
donc;880
if;860
peu;841
chez;834
était;827
n'a;824
alors;804
premier;802
0;779
ministre;748
fois;742
vous;741
000;733
avant;727
nos;717
faut;707
1;702
50;693
pouvoir;692
celui;685
états;683
ni;681
là;679
cela;678
aujourd'hui;673
l'état;665
guerre;664
430;649
652;649
length;645
années;645
l'europe;640
déjà;637
grand;630
toujours;629
trois;625
ainsi;624
crise;623
dit;620
soit;609
unis;609
rien;608
ceux;603
20;602
économique;596
quelques;596
s'est;592
dire;591
celle;587
point;585
cas;584
gauche;584
gouvernement;578
milliards;575
qu'elle;572
jean;568
car;555
position;553
selon;550
vie;547
t;545
jamais;542
mois;540
autres;538
française;535
2;535
va;534
grande;530
avoir;529
nouvelle;511
millions;508
fin;497
paris;494
reste;491
trop;490
l'on;490
qu'ils;482
sera;482
jour;482
toute;481
travail;475
elles;474
doit;473
5;472
serait;467
nouveau;465
sarkozy;465
première;463
croissance;461
3;460
chef;457
qu'on;456
dernier;452
top;448
notamment;437
jours;436
index;434
place;433
z;433
droite;431
else;430
'0';430
'none';430
function;430
css;430
47px;430
puis;424
beaucoup;423
enfin;423
risque;408
bon;407
loi;406
cet;403
autre;400
mieux;399
mal;398
nombre;395
eux;394
seulement;388
nationale;385
parce;385
lors;384
république;382
face;380
partie;377
d'euros;377
toutes;376
personnes;376
surtout;375
d'être;372
européenne;369
général;364
moment;364
défense;362
n'y;361
compte;361
ci;358
voir;356
l'économie;354
près;352
eu;350
devant;350
parti;349
aurait;349
2013;348
prix;348
certains;347
sud;346
chômage;346
nord;345
d'autres;344
l'autre;343
raison;341
livre;341
doute;340
vient;339
droit;339
question;337
chaque;336
désormais;335
plusieurs;335
6;334
pourtant;333
prendre;332
m;331
d'abord;331
vers;330
tant;330
pib;329
4;328
l'histoire;327
situation;326
pourrait;326
hommes;325
souvent;321
part;321
coup;321
publique;321
femmes;320
quatre;319
veut;319
n'ont;314
d'état;314
europe;314
national;313
lieu;313
s'il;312
l'allemagne;311
pendant;311
taux;311
tête;308
2012;308
dette;308
militaire;307
côté;307
zone;306
font;305
entreprises;304
avaient;303
pourquoi;303
sait;301
seule;299
seul;297
siècle;295
ça;295
nom;293
200;293
fut;292
grands;292
jeunes;291
sécurité;290
l'un;290
2014;289
marché;289
1000;287
politiques;287
l'armée;286
conseil;285
me;285
américains;285
façon;281
sûr;281
santé;280
an;279
étaient;279
qu'un;278
début;277
système;277
jusqu'à;277
comment;276
l'homme;275
10;275
7;273
année;273
dépenses;273
effet;272
autant;271
cours;271
savoir;270
bonne;270
aura;270
mettre;270
exemple;269
enfants;268
personne;268
passé;268
russie;266
j'ai;265
dès;265
dollars;264
plan;263
peuple;262
euros;261
population;261
l'euro;260
loin;260
force;259
d'ailleurs;258
publiques;257
certes;256
cinq;256
dix;255
syrie;254
grâce;253
militaires;252
quant;251
pris;251
chine;250
société;250
valls;249
américain;248
heures;248
retour;247
djihadistes;247
rapport;245
semble;244
nicolas;244
niveau;243
vrai;243
état;242
longtemps;242
obama;242
mort;241
8;241
quoi;241
ps;240
peuvent;239
semaine;238
mise;238
régime;238
service;237
maladie;236
or;236
cause;235
mis;235
pierre;235
l'union;235
problème;234
mondiale;234
points;232
aucun;230
30;229
al;228
passe;228
majorité;228
européen;227
s'en;226
sens;226
maison;226
euro;226
déficit;225
groupe;225
n'en;225
moyens;225
social;224
également;224
qu'en;223
dernière;223
petit;222
qu'une;222
plutôt;222
vont;221
tel;220
janvier;220
coeur;220
homme;219
fort;218
forces;217
c'était;216
nexteffect;215
next;215
img';215
overlay;215
'margin';215
prev;215
opened;215
right';215
nextspeed;215
preveffect;215
2147483647;215
'number';215
height;215
mêmes;215
'padding;215
'inside';215
2147483630;215
right;215
title;215
typeof;215
left;215
fancy;215
helpers;215
l'a;214
saint;213
chose;213
presque;213
révolution;213
ligne;212
mali;212
rue;210
voilà;210
modèle;209
devrait;208
qu'à;208
trouve;207
région;206
affaires;206
baisse;206
public;206
socialiste;205
réformes;205
projet;205
grandes;205
s'agit;204
musulmans;202
tard;202
d'avoir;201
services;201
laquelle;201
voit;200
9;200
jeune;200
démocratie;199
aucune;199
sociale;198
commission;198
2011;198
européens;198
américaine;198
réforme;197
vu;196
porte;196
juste;195
vérité;195
mesure;193
11;193
parfois;192
campagne;191
pu;191
nouveaux;191
yeux;191
élections;191
ici;190
donner;190
demande;189
poutine;189
sein;188
septembre;188
70;188
afin;188
budget;187
possible;187
économiques;187
évidemment;187
deuxième;186
tour;186
libye;186
assez;186
malgré;185
derniers;185
revanche;184
moyen;184
manuel;183
15;183
moyenne;182
ville;182
russe;182
haut;182
bas;182
vingt;181
sommes;181
terme;181
l'islam;181
celles;181
réalité;180
ensuite;180
parler;180
terre;180
prise;180
peine;180
centre;180
presse;179
nouvelles;178
mon;178
patients;177
liberté;176
discours;176
rôle;176
choix;176
autour;175
quel;174
seront;174
choses;174
ailleurs;174
front;174
train;173
présidentielle;173
compris;173
troisième;172
suis;172
six;172
main;172
bonnes;171
michel;171
passer;171
besoin;170
recherche;170
contrôle;169
sujet;169
royaume;169
donne;169
nation;169
voire;169
propos;169
femme;167
chacun;167
l'ump;166
parmi;166
mot;166
famille;165
2015;165
particulier;164
jacques;162
classe;162
développement;162
semaines;161
internationale;161
finances;161
trente;160
financière;160
dirigeants;160
l'élysée;160
vraiment;159
l'iran;159
décision;159
doivent;158
moi;158
fonction;158
marchés;157
choc;157
puissance;157
compétitivité;156
devenu;156
contraire;156
vieux;156
manière;156
longue;156
nombreux;156
principe;155
avons;155
menace;155
armées;154
juin;154
groupes;154
corps;153
feu;153
site;153
ayant;153
arabe;153
vite;153
hausse;153
charge;152
sorte;152
succès;152
soient;152
titre;152
l'ancien;152
résultats;151
stratégie;151
60;151
partout;151
trouver;151
permis;151
fond;151
petite;150
quelque;150
programme;150
chefs;150
proche;149
l'argent;149
d'autant;149
gros;149
armes;149
puisque;149
novembre;149
raisons;149
marine;149
traitement;149
dernières;149
bref;148
gens;148
période;148
pire;148
croire;147
s'y;146
l'année;146
pen;146
produits;146
simple;146
lire;145
justice;145
jeu;145
forme;145
budgétaire;145
culture;144
décembre;143
françaises;143
assad;143
qu'elles;143
suite;143
droits;143
islamique;143
lorsque;142
partir;142
soir;142
l'une;142
vis;142
frères;141
l'affaire;141
vue;141
mai;141
25;141
matière;141
n'était;141
l'avenir;140
lutte;140
sortir;140
l'idée;140
premiers;140
derrière;139
2010;139
dimanche;139
cadre;139
comptes;139
mesures;139
donné;138
éviter;138
preuve;138
socialistes;137
membres;137
guère;137
mondialisation;137
tandis;136
chute;136
40;136
ministres;136
double;136
histoire;135
difficile;135
soutien;135
étude;135
devient;135
juillet;135
l'afrique;134
el;134
n'avait;133
mouvement;133
l'assemblée;133
sang;132
permet;132
petits;132
texte;132
18;132
publics;132
printemps;132
meilleur;132
lequel;131
base;131
new;131
hors;131
washington;131
nucléaire;131
voix;130
sociaux;130
solution;130
démocratique;130
sortie;130
mandat;129
écrit;129
candidat;129
monétaire;129
combat;129
continent;128
départ;128
