short,full,common,added,cut,ending,is_vocal,pos,len_s,len_f,len_ratio
abdo,abdominal,abdo,,minal,o,True,adj,4,9,2.25
abdos,abdominaux,abdo,s,minaux,s,True,adj,5,10,2.0
abs,absinthe,abs,,inthe,s,False,,3,8,2.66
aca,académie,aca,,demie,a,True,nom,3,8,2.66
accro,accroché,accro,,ché,o,True,adj,5,8,1.6
accu,accumulateur,accu,,mulateur,u,True,nom,4,12,3.0
accu,accumulteur,accu,,multeur,u,True,,4,11,2.75
accus,accumulateur,accu,s,mulateur,s,True,nom,5,12,2.4
accéléro,accélérateur,acceler,o,ateur,o,False,,8,12,1.5
achar,acharnement,achar,,nement,r,False,,5,11,2.2
actu,actualité,actu,,alité,u,True,nom,4,9,2.25
actus,actualités,actu,s,alites,s,True,nom,5,10,2.0
admin,administrateur,admin,,istrateur,n,False,,5,14,2.8
admin,administration,admin,,istration,n,False,,5,14,2.8
admin,administrator,admin,,istrator,n,False,,5,13,2.6
admini,administration,admini,,stration,i,True,,6,14,2.33
admiss,admission,admiss,,ion,s,False,,6,9,1.5
ado,adolescent,ado,,lescent,o,True,nom,3,10,3.33
aff,affaire,af,,aire,f,False,,3,7,2.33
afro,africain,afr,o,icain,o,False,,4,8,2.0
afro,afro-american,afro,,american,o,True,,4,13,3.25
ag,agitato,ag,,itato,g,False,adv,2,7,3.5
age,agenore,age,,nore,e,True,nom propre,3,7,2.33
agglo,aggloméré,agglo,,meré,o,True,adj,5,9,1.8
agreg,agrégation,agreg,,ation,g,False,,5,10,2.0
agrég,agrégation,agreg,,ation,g,False,nom,5,10,2.0
agrég',agrégation,agreg,e,ation,',False,,6,10,1.66
ahur,ahurissant,ahur,,issant,r,False,,4,10,2.5
ailurope,ailuropode,ailurop,e,ode,e,False,nom,8,10,1.25
al,alain,al,,ain,l,False,nom propre,2,5,2.5
alco,alcoolique,alco,,olique,o,True,,4,10,2.5
alcoolo,alcoolique,alcool,o,ique,o,False,adj,7,10,1.42
alex,alexandre,alex,,andre,x,False,nom propre,4,9,2.25
alim,alimentation,alim,,entation,m,False,nom,4,12,3.0
alka,alka-seltzer,alka,,seltzer,a,True,,4,12,3.0
allo,allegro,all,o,egro,o,False,adv,4,7,1.75
allo,allégro,all,o,egro,o,False,adv,4,7,1.75
alloc,allocation,alloc,,ation,c,False,nom,5,10,2.0
allèle,allélomorphe,allel,e,omorfe,e,False,nom,6,12,2.0
alsaco,alsacien,alsac,o,ien,o,False,,6,8,1.33
alu,aluminium,alu,,minium,u,True,nom,3,9,3.0
ambul,ambulance,ambul,,ance,l,False,,5,9,1.8
amerlo,amerloque,amerlo,,que,o,True,,6,9,1.5
amphi,amphithéâtre,amfi,,theatre,i,True,nom,5,12,2.4
amphète,amphétamine,amfet,e,amine,e,False,nom,7,11,1.57
amphé,amphétamine,amf,é,etamine,é,False,nom,5,11,2.2
amphé,amphétamines,amf,é,etamines,é,False,,5,12,2.4
amphét',amphétamine,amfet,e,amine,',False,nom,7,11,1.57
ampli,amplificateur,ampli,,ficateur,i,True,nom,5,13,2.6
ana,analyse,ana,,lyse,a,True,,3,7,2.33
anar,anarchiste,anar,,chiste,r,False,nom,4,10,2.5
anarcho,anarchiste,anarch,o,iste,o,False,,7,10,1.42
anat,anatomie,anat,,omie,t,False,,4,8,2.0
anatife,anatifère,anatife,,re,e,True,nom,7,9,1.28
anc,ancien,anc,,ien,c,False,,3,6,2.0
ance,ancien,anc,e,ien,e,False,,4,6,1.5
anciennt,anciennement,ancienn,t,ement,t,False,adv,8,12,1.5
anglo,anglophone,anglo,,fone,o,True,nom,5,10,2.0
ano,anorexique,ano,,rexique,o,True,,3,10,3.33
anti-antifa,anti-antifascisme,antiantifa,,scisme,a,True,,11,17,1.54
anti-g,antigravitationnel,antig,,ravitationnel,g,False,adj,6,18,3.0
antifa,antifasciste,antifa,,sciste,a,True,nom,6,12,2.0
antilog,antilogarithme,antilog,,arithme,g,False,nom,7,14,2.0
