abdo,abdominal
abdos,abdominaux
abs,absinthe
aca,académie
accro,accroché
accu,accumulateur
accu,accumulteur
accus,accumulateur
accéléro,accélérateur
achar,acharnement
actu,actualité
actus,actualités
admin,administrateur
admin,administration
admin,administrator
admini,administration
admiss,admission
ado,adolescent
aff,affaire
afro,africain
afro,afro-american
ag,agitato
age,agenore
agglo,aggloméré
agreg,agrégation
agrég,agrégation
agrég',agrégation
ahur,ahurissant
ailurope,ailuropode
al,alain
alco,alcoolique
alcoolo,alcoolique
alex,alexandre
alim,alimentation
alka,alka-seltzer
allo,allegro
allo,allégro
alloc,allocation
allèle,allélomorphe
alsaco,alsacien
alu,aluminium
ambul,ambulance
amerlo,amerloque
amphi,amphithéâtre
amphète,amphétamine
amphé,amphétamine
amphé,amphétamines
amphét',amphétamine
ampli,amplificateur
ana,analyse
anar,anarchiste
anarcho,anarchiste
anat,anatomie
anatife,anatifère
anc,ancien
ance,ancien
anciennt,anciennement
anglo,anglophone
ano,anorexique
anti-antifa,anti-antifascisme
anti-g,antigravitationnel
antifa,antifasciste
antilog,antilogarithme
antipolio,antipoliomyélitique
app,application
appart,appartement
appart',appartement
appli,application
après-me,après-midi
apé,apéro
apéro,apéritif
arbi,arbicot
archi,architecture
archéo,archéologie
argu,argumentaire
aristo,aristocrate
arrondisse,arrondissement
arti,artilleur
artiche,artichaut
aspi,aspirant
aspi,aspirateur
asso,association
assoce,association
aster,astérisque
astro,astrologie
astro,astronomie
athéro,athéromatose
audi,auditorium
auto,automobil
auto,automobile
auto,automòbil
auto,automóvel
auto,automóvil
autocom,autocommutateur
autor,autorité
auxi,auxiliaire
avaro,avarie
averto,avertissement
aéro,aérodynamique''
aéro,aéroplane
baby,babyfoot
bac,baccalauréat
bac,baccarat
baccar,baccarat
bactério,bactériologie
bal,ballon
balnéo,balnéothérapie
bando,bandonéon
barbec',barbecue
barbi,barbituriques
barbill,barbillon
barbo,barbouillage
barje,barjot
basket,basket-ball
baz,bazar
beach,beach-volley
beauf,beau-frère
beaujo,beaujolais
beaujol,beaujolais
ber,berri
bi,bisexuel
bibli,bibliothèque
biblio,bibliographie
biblio,bibliothèque
bic,bicot
biclo,biclot
biclo,biclou
bide,bidon
bif,bifteck
biffe,biffin
bifur,bifurcation
bign',bignouf
bigne,bignouf
bigo,bigophone
bigor,bigorneau
bino,binoculaire
bio,biographie
bio,biologie
bio,biologique
bistre,bistrot
bistro,bistrouille
blair,blaireau
blenno,blennoragie
blenno,blennorragie
bob,bobinette
bob,bobsleigh
bolcho,bolchevik
bombe,bombance
book,bookmaker
bota,botanique
boude,boudin
bouille,bouillotte
bourge,bourgeois
bourre,bourrique
boustiffe,boustifaille
braco,braconnier
branco,brancardier
bricolo,bricoleur
broc,brocanteur
broche,brochure
broco,brocanteur
broncho,bronchite
bugle,bugle-horn
bul,bulgare
bulg,bulgare
bull,bulldozer
bull,bullshit
béa,béatrice
bélino,bélinogramme
bélino,bélinographe
bénef,bénéfice
béru,bérurier
cab,cabot
cab,cabriolet
cabot,cabotin
cabrio,cabriolet
cad',cadillac
cafèt',cafétéria
cafète,cafétéria
cafét',cafétéria
caille,caillera
cali,caligraphie
calmos,calmement
calo,calorifère
calva,calvados
camaro,camarade
came,camelote
campe,camping
campe,camplouse
camé,caméra
canna,cannabis
cannib's,cannibale
cap,capable
cap',capable
capi,capitaine
capitalo,capitaliste
capite,capitaine
carbu,carburateur
carbure,carburant
carburo,carburateur
cardio,cardiologie
cardio,cardiologue
casa,casablanca
casse,cassement
casse,cassis
cassis-co,cassis-cognac
cata,catastrophe
cath,cathéter
catho,catholique
caté,catéchisme
cellulo,celluloïd
cens,censeur
certi,certificat
certif,certificat
certo,certificat
ch,cheval
cha-cha,cha-cha-cha
chab,chabanais
champ,champagne
champ',champagne
champe,champagne
chef-op',chef-opérateur
chewing,chewing-gum
chi,chimie
chik,chikungunya
chimio,chimiothérapie
chipo,chipolata
chir,chirurgie
chiro,chiropracteur
chiro,chiropraticien
chirurgo,chirurgien
choco,chocolat
