abréger;abréger un discours
absorb;absorption
acajou;acaiacatinga
accro;la dernière syllabe
ad lib;ad libitum
adgo;adagio
affirmat';oui
agglo;agglomération urbain
airedale;airedale terrier
alloc;allocations familiales
alltto;allégretto
alpa;vêtement
alpague;alpaga
alpague;paletot
alterque;altercation
amerlo;américain
amerloque;américain
amerlot;américain
amphi-gog;causerie aux latrines
anapath;anatomie patologique
anapatho;anatomie pathologique
andno;andantino
angliche;anglais
animal;animaux fabuleux
antiar;antiaris toxicaria
antigaspi;gaspillage
applic;ecole d'aplication
aprèm;après-midi
aprèm';après-midi
aprème;après-midi
archinav;architecture navale
archéo;archaïque
arrêt car;arrêt cardiaque
art mili;art militaire
artif;escalade qui demande des appareils artificiels
assos;association très branché !
astap;à cet après-midi
astap;à se taper le cul par terre
atte;atout
auster;gare d'austerlitz
avaro;accident
avis;avis au lecteur
avoir du bi;être fort
baccalauréat;baccalauréat ès arts
bachot;baccalauréat
bagouse;bague
bagouze;bague
bague;bagoul
bande;bandes latérales indépendantes
bande inter;bande son internationale
bande rythmo;bande rythmographique
barbac;barbecue
barbe;homme qui vit de la prostitution
barbeuc;barbecue
bas-off;sous-officier
basduc;nabot
bat-d'af';bataillon d'afrique
bath;bien
beta;caméra format betamax
bibi;simple soldat
bibine;biberon
biclo;bicyclette
biclou;bicyclette
bif;billet de banque
bif';beafteck
binaise;combinaison
binet de ser;cabinet de service
bing;bignouf
bique;bicot
bit;binary digit
blaze;blason
bloc mater;bloc maternité
blouses;blousons noirs
bobe;tête
bobeur;bobsleigh
bobosse;bobosse
boc;bordel
boche;alboche
bock;bocal
bolo;sobriquet de bollardière
bona;billet de cinq cents francs
bonap;billet de valeur
bonbec;bonbon
bonichon;bonnet
bonime;discours
bonne;bonne à tout faire
bosco;bossu
boscot;bossu
boston;boston dip
bouche;bouche en cul
boul;le boulevard
boul d'hum;bouleversant d'humanité
boul ger;boulevard saint-germain
boul mu;boulevard murat
boul' dide';boulevard diderot
boul' mann;boulevard haussmann
boul'miche;boulevard saint-michel
boul's extér's;les boulevards extérieurs
bourbon;bourbon whisky
bourgue;bourguignon
bourre;policier
boustife;nourriture
boutanche;bouteille
brachi;brachycéphale
braco;hold-up
brandy;brand-wine
brandy;brandevin
brick;brigantin
brick;brigantine
brig-four;brigadier fourrier
bubul;bulgare
bénouze;bénard
cab-four;caporal-fourrier
cabot;caporal
cabot rata;celui qui s'occupe de la nourriture à l'armée
caf' conc';café-concert
caf'conç;café-concert
caille;*hwahtila « caille
caille;du xiie siècle) de l'ancien français quaille
caldif;calcul différentiel
calif;heures supplémentaires au nouveau tarif
cambrio;voleur par effraction
cantoche;cantine
canular;canular
cap;capable t'es pas cap!
cas soc;cas social
cas soc';cas social
caso;plumet rouge et blanc
cassos;cas social
catch;catch as catch can
catin;catherine
cellos;abréviation de celluloïd
cells;abréviation de celluloïd
certif;certificat d'études
ces mess;ces messieurs
champs-zé;champs-élysées
chass d'af;chasseur d'afrique
chasse-mar;chasseur d'afrique
chef diplo;diplomatie
chichon;hachisch
chti;ch'timi
chômedu;chômage
cigue;cigale
cinoche;ciné
cinoche;cinéma
cinoche;cinématographe
cinéac;cinéma d'actualité
circo;circonscription de police
cité u;cité universitaire
clandes;marché clandestin
clandé;bordel clandestin
client;clille
clille;client
cloclo;avec redoublement de syllabe
club cul;club culturel
coco;commandant
coco;communiste
coffin;table
cogne;eau-de-vie
coke;coca-cola
coke;cocaïne
coke;cocaïne et coca-cola
colo;colonie de vacances
colo;la coloniale
combi;kombinationenwagen
comif;comme il faut
comme d'hab;comme d'habitude
commonwealth;commonwealth of nations
compile;xive siècle)
compote;composition
compte;compte chèque postal
condice;condition
confiote;confiture
confémili;conférence militaire
conseil;conseil d'administration
consulte;consultation de médecine
copar;coopérative parisienne
copil;comité
copil;pilotage
copé;coopérative
cour de cass';cour de cassation
cracra;crasseux
cracra;sale
crade;crasseux
crade;sale
crado;crasseux
cradot;crasseux
crap;portefeuille
craspec;crasseux
crim;brigade criminelle
crobar;croquis
crobard;croquis
croco;crocodile ici l'apocope ne désigne jamais l'animal
cuisot;cuisinier
cuistot;cuistancier
cul nu;calcul numérique
culture gé;culture générale
cuni;cunnilingus
cyclo;agent cycliste
d'ac;accord
dactylo;dactylographe ou dactylographie
dauffe;pince
de compèt';de qualité supérieure
de l'estome;du courage
delige;diligence
der;denier
der des der;dernier
derch;derrière
derche;derrière
derge;derrière
descript;géométrie descriptive
dessin tech;dessin technique
deuche;deux
deusio;deuxièmement
deuz';deuxième
deuzio;deuxièmement
dev sup;devoir supplémentaire
didi;avec redoublement expressif
direction;direction paris
dirlo;directeur
distribe;distribution en général ou en particulier
division;division aéroportée
doc;docteur en médecine
dodo;dominique
dorme;se quoi dormir
double péné;double pénétration
double-péné;double pénétration cf le film "dans la maison
droit co;condamné de droit commun
drug;style drugstore
duffe;vrai
duroc;la maison du roc
déca;café décaféiné
déco;décoratif ou décoration pal mal
décontracte;décontracté
délas' com';délassements comiques
délègues;délégations judiciaires
démoc' soc';démocrate socialiste
désintoc;désintoxication
en ta;en tabarnak
en ta;en taboire
entre nous;entre nous deux
entre nous;nous
ergo;ergothérapie ou ergothérapeute
escargue;escargot
esque;esgard
et al;et alia
et al;et alii
et al;et aliæ
etc;et cetera
etc;et cætera
eu;du français euro
exam gé;examen général
explique;explication
exposition;exposition van gogh
exta;extasy drogue
extra;du xxe
facho;fasciste
facob;facultatif obligatoire
faf;fasciste
fague;fagot
faire de l'harmone;faire du bruit
faire la surse;sur
faire une ento;voler à l'entôlage
false;falzar
fantoche;fantaisie
fastoche;facile
faub germ;faubourg
fech';fait chier
feignasse;feignant
figue;arabe
fil de f;fil
flag;arrestation en flagrant délit
flag;flagrant délit
flague;flagrant délit
flingot;flingue
flingue;flingot
fol' berg';folies-bergères
fol-dram;folies-dramatiques
fous le c;fous le camp
franc;franc c. f. a
franc-mac;franc-maçon
franco;franco porto
frappe;frapouille
frido;allemand
fromage;fromegi
fromage;frometon
fromegi;fromage
frometon;fromage
fromgi;fromage
fromton;fromage
furax;furieux
furibard;furieux
futé;fut'-fut'
gade;chute
gallon;gal. can
garde mob;garde mobile
gargue;gargoine
garno;garni
geo;georges prononcez jo
gestape;gestapo
gestio;officier gestionnaire
godasse;godillot
godilles;godillot
goldi;surnom de
goudou;gouine
gradus;gradus ad parnassum
granny;granny smith
gratis;gratuitement
greco;groupement
groupe électro;groupe électrogène
gégé;gérard
géné de commiss;général de commission
hamburger;hamburger steak
hard;hard rock
hasch;hachich
hash;haschich
heures supp;heures supplémentaires
hi-fi;high fidelity
hip;drogué
hist nat;histoire naturelle
holding;holding company
horresco;horresco referens
hosteau;hôpital
hosto;hôpital
illusion;illuses
in partibus;in partibus infidelium
info;informations données par la radio ou la télévision
initial;initiales formant le nom d'
injection;injection hypodermique
injection;injection sous-cutanée
intox;mensonge
intran l'-;l'intransigeant
jam de la v;jamais de la vie
jodhpur;jodhpur breeches
jojo;avec redoublement généralement hypocoristique
jojo;joli
joli;jojo
journaleux;journaliste
jèze;jèse
jèze;jésuite
kapo;kamerad polizei
keud;que dalle
kiki;kinortine
la chab';la chabossière
la f pour la -;pour la frime
la juste;la justice
la mouffe;rue mouffetard
la préfec;préfecture
langues o;langues orientales
lap;la
latin;lat. pop
lavedu;terme de mépris
laxon;paquet
le p'tit lu;le p'tit lucien
libé;libération plus spécifiquement la publication
lingue;lingot d'or
liste;liste de fautes
lopaille;homosexuel
lope;homosexuel
louftingue;loufoque
loulou;loubar
loulou;loubard
loulou;louise
lulu;lucien
lulu;lucienne
légi;cours de législation
mac;maquereau
maccab;macchabée
macdo;mac donald
mag;magasine pas si rare: plus de 1.500.000 d'ocurrences sur google!
magne;manière
magnes;manière
magnéto;génératrice magnéto-électrique
magnéto;machine
malou;marie-louise
manche;idée de maladresse ou de bêtise
manipulation;manipulations génétiques
marab;aumônier
march-logis;maréchal des logis
margis;maréchal des logis
marine;marine de guerre
marité;marie-thérèse
mastroc;mastroquet
math géné;mathématiques générales
math spé;mathématiques spéciales
math sup;mathématiques supérieures
math élém;mathématiques élémentaires
mattes;mathurin
maître;maître bolbec et son mari
maître d'hô;maître d'hôtel
maîtresse;maître bolbec et son mari
meccano;mechanics
membrinf;membre
merdeuf;"mère de famille" début du xxième dont la consonance évoque meuf « femme » en verlan
merka;appareil d'éclairage individuel
micro;combiné de téléphone
micro;microphone j'ai une panne de micro
mike;micro
mili;l'exercice
mili fana;passionné de choses militaires
mimi;mignon
minen;torpille aérienne allemande lancée par les mortiers de tranchée
mini;mauvaise note
mobile;moblot
moblot;mobile
mode op;mode opératoire
modem;modulateur-démodulateur
mod ;modulo
moit' moit';moitié moitié
momo;maurice
monac;sou
mono;monitrice des colonies de vacances
mono;type de moteur
morion;mormorion
moza;mozzarelle
multiple;multiple à droite à gauche d'un élément
muzz;musulman
mère-sup;mère supérieure (dans les "institutions
méca ra;mécanique rationnelle
méd-op;médecine opérative
médauxe;médecin auxiliaire
méningo;malade atteint de méningite
ménoche;ménopause
n'imp;n'importe quoi
naco;national-communiste
natu;elève de la section des sciences naturelles
naze;l'argot nazi
naze;nasi
niac;niakoué
nibar;nichon
nibard;nichon
nickel;nicolaus
nigaud;nicodème
noeud pap;noeud papillon
nom d'un ch !;juron
norm sup;ecole normale supérieure
nounou;nourrice
nullache;nul à chier
objo;objectif photographique
occaz;occasion
offlag;offizierlager
offre;offre publique d'échange
oflag;offizierlager
op;op art
op. cit;op. cit
ophtalmo;ophtalmologiste/ ophtalmologue
opér-comi;opéra comique
p. j;p. j
p. s. v;p. s. v
paco;paquetage
paki;pakistanais en particulier: magasin ouvert le soir ordinairement tenu par un ou des pakistanais... en belgique du moins
pan pan;panne
pan pan pan;panne
panache;panaché
panne;panade
papounet;papa
parégo;élixir parégorique
pas gymn;pas gymnastique
