short;full;pos
abdo;abdominal;adj
abdos;abdominaux;adj
aca;académie;nom
accro;accroché;adj
accus;accumulateur;nom
accu;accumulateur;nom
actu;actualité;nom
actus;actualités;nom
ado;adolescent;nom
afro;afro-americain;nom
age;agenore;nom propre
agglo;aggloméré;adj
ag;agitato;adv
agrég;agrégation;nom
ailurope;ailuropode;nom
al;alain;nom propre
alcoolo;alcoolique;adj
alex;alexandre;nom propre
alim;alimentation;nom
allo;allegro;adv
alloc;allocation;nom
allo;allégro;adv
allèle;allélomorphe;nom
alu;aluminium;nom
amphi;amphithéâtre;nom
amphé;amphétamine;nom
amphète;amphétamine;nom
amphét';amphétamine;nom
ampli;amplificateur;nom
anar;anarchiste;nom
anatife;anatifère;nom
anciennt;anciennement;adv
anglo;anglophone;nom
antifa;antifasciste;nom
anti-g;antigravitationnel;adj
antilog;antilogarithme;nom
antipolio;antipoliomyélitique;adj
appart;appartement;nom
appli;application;nom
apéro;apéritif;nom
archi;architecture;nom
archéo;archéologie;nom
aristo;aristocrate;nom
artiche;artichaut;nom
aspi;aspirant;nom
asso;association;nom
assoce;association;nom
astro;astrologie;nom
aster;astérisque;nom
autocom;autocommutateur;nom
auto;automobile;nom
autor;autorité;nom
avaro;avarie;nom
averto;avertissement;nom
aéro;aéroplane;nom
bac;baccalauréat;nom
bactério;bactériologie;nom
balnéo;balnéothérapie;nom
barbec';barbecue;nom
barbo;barbouillage;nom
basket;basket-ball;nom
baz;bazar;nom
beach;beach-volley;nom
beauf;beau-frère;nom
beaujo;beaujolais;nom
biblio;bibliographie;nom
biclo;biclot;nom
biclo;biclou;nom
bide;bidon;nom
bif;bifteck;nom
bifur;bifurcation;nom
bigne;bignouf;nom
bign';bignouf;nom
bigo;bigophone;nom
bigor;bigorneau;nom
bino;binoculaire;adj
bio;biographie;nom
bio;biologie;nom
bio;biologique;adj
bi;bisexuel;adj
blair;blaireau;nom
blenno;blennorragie;nom
bob;bobinette;nom
bob;bobsleigh;nom
bolcho;bolchevik;nom
bombe;bombance;nom
book;bookmaker;nom
boude;boudin;nom
bourge;bourgeois;nom
bourgue;bourguignon;adj
boustiffe;boustifaille;nom
braco;braconnier;nom
bricolo;bricoleur;nom
broco;brocanteur;nom
bugle;bugle-horn;nom
bull;bulldozer;nom
bélino;bélinogramme;nom
bélino;bélinographe;nom
bénef;bénéfice;nom
cab;cabot;nom
cabot;cabotin;nom
cab;cabriolet;nom
cafét';cafétéria;nom
cafèt';cafétéria;nom
calmos;calmement;adv
calva;calvados;nom
came;camelote;nom
canna;cannabis;nom
cap';capable;adj
cap;capable;adj
capitalo;capitaliste;nom
carbu;carburateur;nom
carburo;carburateur;nom
cardio;cardiologie;nom
cardio;cardiologue;nom
casse;cassement;nom
cata;catastrophe;nom
catho;catholique;adj
caté;catéchisme;nom
cellulo;celluloïd;nom
certif;certificat;nom
chti;ch'timi;nom
