alcoolo;alcoolique
apéro;apéritif
avaro;avarie
carburo;carburateur
garno;garni
mono;moniteur
mono;monitrice des colonies de vacances
projo;projecteur
proprio;propriétaire
ravito;ravitaillement
ventilo;ventilateur
syphilo;syphilis
chirurgo;chirurgien
véto;vétérinaire
problo;problème
capitalo;capitaliste
gaucho;gauchiste
intello;intellectuel
socialo;socialiste
proxo;proxénète
sado;sadique
péno;pénalty
romano;romanichel
directo;directement
rondo;rondement
beaujo;beaujolais
braco;braconnier
catho;catholique
cellulo;celluloïd
colo;colonie de vacances
conso;consommation
expo;exposition
folklo;folklorique
info;informations données par la radio ou la télévision
patro;patronage
perco;percolateur
perso;personnel
accro;accroché
héro;héroïne
toxico;toxicomane
impro;improvisation
bio;biologique
démago;démagogue
écolo;écologique
compo;composition
interro;interrogation
blenno;blennorragie
mégalo;mégalomane
parano;paranoïa
schizo;schizophrénie
dermato;dermatologue
gynéco;gynécologue
homo;homosexuel
hétéro;hétérosexuel
maso;masochiste
miso;misogyne
nympho;nymphomane
phallo;phallocrate
