abdos;abdominaux
aca;académie
accro;accroché
accu;accumulateur
actus;actualités
ado;adolescent
al;alain
alex;alexandre
age;agenore
alu;aluminium
amphét';amphétamine
amphi;amphithéâtre
ampli;amplificateur
anar;anarchiste
appart;appartement
aprèm';après-midi
archéo;archéologie
archi;architecture
assos;association très branché !
auto;automobile
bac;baccalauréat
barbec';barbecue
basket;basket-ball
beauf;beau-frère
bénef;bénéfice
bi;bisexuel
bide;bidon
bio;biologie
bio;biologique
blenno;blennorragie
bonne;bonne à tout faire
caf'conç;café-concert
cafét';cafétéria
came;camelote
canna;cannabis
cap;capable t'es pas cap!
cardio;cardiologue
cata;catastrophe
catho;catholique
champ';champagne
chimio;chimiothérapie
choré;chorégraphie
chromo;chromolithographie
chrono;chronomètre
claf;clafoutis
clim;climatisation
clito;clitoris
clo;clotilde
coke;cocaïne et coca-cola
collabo;collaborateur
colo;colonie
coloc;colocataire
com;communication
compét';compétition
compil;compilation
compo;composition
congel;congélateur
compét';compétition
consom;consommation
croco;crocodile ici l'apocope ne désigne jamais l'animal
cuni;cunilingus
cyber;cybernétique
cyclo;cyclomoteur
d'ac;d'accord
dactylo;dactylographe ou dactylographie
déca;décaféiné
déco;décoratif ou décoration pal mal
dégueu;dégueulasse
démo;démonstration
déso;désolé
dino;dinosaure
domi;dominique
double-péné;double pénétration cf le film "dans la maison
éjac;éjaculation
elisa;elisabeth
ergo;ergothérapie ou ergothérapeute
escort;escort-girl
exam;examen
exta;extasy drogue
extra;extraordinaire
fac;faculté
fédé;fédération
ferry;ferry-boat
flo;florence
foot;football
fred;frédéric
frigo;frigorifique
gaspi;gaspillage
gastro;gastro-entérite
geo;georges prononcez jo
géo;géographie
grand-ma;grand-maman
grand-pa;grand-papa
gus;gustave
gym;gymnastique
hallu;hallucination
hasch;haschisch
hélico;hélicoptère
héro;héroïne
hétéro;hétérosexuel
hitch;hitchcock
homo;homosexuel
illu;illustration
immo;immobilier
impec;impeccable
imper;imperméable
indic;indicateur
info;information
instit;instituteur
interro;interrogation
intox;intoxication
intro;introduction
isa;isabelle
jap;japonais
jean-mi;jean-michel
jo;josé
jo;joseph
kilo;kilogramme
kiné;kinésithérapeute
labo;laboratoire
libé;libération plus spécifiquement la publication
lino;linoléum
lipo;liposuccion
litho;lithographie
loco;locomotive
ludo;ludovic
ma;maman
mac;maquereau
mag;magasine pas si rare: plus de 1.500.000 d'ocurrences sur google!
magnéto;magnétophone
manif;manifestation
manu;manuel
maso;masochiste
mater;maternelle
maths;mathématiques
matt;matthieu
matt;matthew
max;maximum
mayo;mayonnaise
mélo;mélodrame
mère-sup;mère supérieure (dans les "institutions
météo;météorologie
météo;météorologique
métro;métropolitain
micro;microphone j'ai une panne de micro
micro;micro-ordinateur
mob;mobylette
modem;modulateur-démodulateur
mono;mononucléose
mono;monophonie
moto;motocyclette
mouss;moustafa
mouss;moustapha
natha;nathalie
nico;nicolas
nœud-pap;nœud-papillon
nympho;nymphomane
occase;occasion
oli;olivier
ophtalmo;ophtalmologiste/ ophtalmologue
ordi;ordinateur
oto-rhino;oto-rhino-laryngologiste
pa;papa
paki;pakistanais en particulier: magasin ouvert le soir ordinairement tenu par un ou des pakistanais... en belgique du moins; ou restaurant pakistanais
pam;pamela
para;parachutiste
pat;patrick
pater;paternel
patro;patronage
pectos;pectoraux
pédé;pédéraste
perco;percolateur
percus;percussions ... et jean-loup aux percus!
perf;perfusion
perso;personnel ou personnellement
pete;peter
pharma;pharmacie
phil;philippe
philo;philosophie
photo;photographie
pneu;pneumatique
pola;polaroïd dans le film les visiteurs
polio;poliomyélite
pouffe;pouffiasse
porno;pornographie
pro;professionnel
prod;production
prof;professeur
promo;promotion
prono;pronostic
proprio;propriétaire
prosse;prostitution quand le mot en désigne le milieu
provoc;provocation
psy;psychologue
psycho;psychologie un cours de psycho
pub;publicité
pull;pull-over
pute;putain
rab;rabiot
rando;randonnée
rasta;rastaquouère
rata;ratatouille
récré;récréation
réduc;réduction
repro;reproduction
resto;restaurant et restau-u
rhino;rhinocéros
sado-maso;sado-masochiste
saint-ex;saint-exupéry
saint-ger;saint-germain-des-prés
saint-trop;saint-tropez
sam;samuel ou samantha
sana;sanatorium
sarko;sarkozy
scato;scatologie
schizo;schizophrène ou schizophrénique
séba;sébastien
ségo;ségolène
sensass;sensationnel
séropo;séropositif
sodo;sodomie
sono;sonorisation
sous-off;sous-officier
spéléo;spéléologie
stal;stalinien en jargon gauchiste.%%
stats;statistiques
sténo;sténographie
steph;stéphane
stéréo;stéréophonie
stras;strasbourg
strip;strip-tease
stups;stupéfiants
stylo;stylographe
super;supercarburant
suppo;suppositoire
sympa;sympathique
synchro;synchronisation ou synchronisé
synthé;synthétiseur
tarmac;tarmacadam
taxi;taximètre
télé;télévision
télécoms;télécommunications
thalasso;thalassothérapie
théo;théophile
théo;théodore
tram;tramway
transat;transatlantique
trans;transsexuel
trigo;trigonométrie
troca;trocadero
trouduc;trou du cul
turbo;turbocompresseur
uro;urolagnie
vélo;vélocipède
viet;vietnamien
vince;vincent
volley;volley-ball
vibro;vibromasseur
walt;walter
water;water-closet
