abdos;abdominaux 
abs;absinthe
absorb;absorption 
accro;accroché
accu;accumulteur
accéléro;accélérateur
achar;acharnement
admini;administration 
admiss;admission
ado;adolescent
aff;affaire 
affirmat';oui 
agglo;agglomération urbain 
agrég;agrégation 
ahur;ahurissant
alco;alcoolique
alex;alexandre
alka;alka-seltzer
alloc;allocations familiales 
alpa;vêtement
alpague;paletot
alsaco;alsacien
alterque;altercation
alu;aluminium 
ambul.;ambulance
amerlo;amerloque
amphi;amphithéâtre 
amphi-gog;causerie aux latrines
amphé;amphétamines
ampli;amplificateur
ana;analyse 
anapath;anatomie patologique 
anapatho;anatomie pathologique
anar;anarchiste
anarcho;anarchiste
anat;anatomie
anc;ancien 
ance;ancien 
ano;anorexique
appart;appartement
applic;ecole d'aplication
aprèm';après-midi
apé;apéro
apéro;apéritif
arbi;arbicot
archi;architecture
archinav;architecture navale
aristo;aristocrate
arrondisse;arrondissement
arrêt car;arrêt cardiaque
art mili;art militaire 
arti;artilleur 
artif;escalade qui demande des appareils artificiels
aspi;aspirant 
astro;astronomie
athéro;athéromatose
atte;atout 
audi;auditorium
auster;gare d'austerlitz
auto;automobile
auxi;auxiliaire
avaro;accident
avoir du bi;être fort
aéro;aéroplane
baby;babyfoot
bac;baccarat 
baccar;baccarat 
bague;bagoul
bal;ballon
bande inter;bande son internationale 
bande rythmo;bande rythmographique 
bando;bandonéon
barbe;homme qui vit de la prostitution
barbi;barbituriques
barbill;barbillon
bas-off;sous-officier
basduc;nabot
bat-d'af';bataillon d'afrique 
bath;bien
baz;bazar
beauf;beau-frère
beaujol;beaujolais
ber;berri
beta;caméra format betamax 
bibi;simple soldat
bibli;bibliothèque
biblio;bibliothèque
bide;bidon
bif;billet de banque
bif';beafteck
biffe;biffin
bifur;bifurcation
bigo;bigophone
binaise;combinaison
binet de ser;cabinet de service
bio;biologique
bique;bicot
bistre;bistrot
blair;blaireau
blaze;blason
blenno;blennoragie
bloc mater;bloc maternité
blouses;blousons noirs
bobe;tête
bobosse;bobosse
boc;bordel
boche;alboche
bolo;sobriquet de bollardière
bombe;bombance
bona;billet de cinq cents francs 
bonap;billet de valeur 
bonime;discours
book;bookmaker
bota;botanique 
boul;le boulevard
boul d'hum;bouleversant d'humanité
boul ger;boulevard saint-germain
boul mu;boulevard murat
boul' dide';boulevard diderot
boul' mann;boulevard haussmann
boul'miche;boulevard saint-michel
boul's extér's;les boulevards extérieurs 
bourge;bourgeois 
bourre;policier
boustife;nourriture
brachi;brachycéphale
braco;hold-up
branco;brancardier
brig-four;brigadier fourrier
broc;brocanteur
broche;brochure 
broco;brocanteur
broncho;bronchite
bubul;bulgare
bul;bulgare
bulg;bulgare
béa;béatrice
bénef;bénéfice
béru;bérurier
cab;cabot
cab;cabriolet 
cab-four;caporal-fourrier
cabot;cabotin
cabot rata;celui qui s'occupe de la nourriture à l'armée
cabrio;cabriolet 
cad';cadillac
caf' conc';café-concert
caldif;calcul différentiel
cali;caligraphie
calif;heures supplémentaires au nouveau tarif 
calva;calvados
camaro;camarade
cambrio;voleur par effraction
came;camelote
campe;camplouse
campe;camping
camé;caméra
capi;capitaine
capite;capitaine
carbure;carburant
carburo;carburateur
cardio;cardiologie
casa;casablanca
caso;plumet rouge et blanc
casse;cassement
cassis-co;cassis-cognac
cata;catastrophe
cath;cathéter 
catho;catholique
catin;catherine
caté;catéchisme
cellos;abréviation de celluloïd 
cells;abréviation de celluloïd 
cens;censeur
certi;certificat
certif;certificat d'études
certo;certificat
ces mess;ces messieurs 
chab;chabanais 
champ;champagne
chass d'af;chasseur d'afrique
chasse-mar;chasseur d'afrique 
chef-op';chef-opérateur
chi;chimie
choco;chocolat
chromo;chromolithographie
chrono;chronomètre 
châsse;chassant
chèche;chechia 
cibi;cibiche
cig;cigarette
cigue;cigale
ciné;cinéma
cinéac;cinéma d'actualité 
circo;circonscription de police 
circule;circulation
cité u;cité universitaire
clandes;marché clandestin
clando;clandestins
clandé;bordel clandestin
clignanc;clignancourt
cligno;clignotant
clille;client 
clim;climatisation
club cul;club culturel
coco;commandant
coffin;table
cogne;eau-de-vie
collabo;collaborateur 
colle;collègue
collec;collection
colo;la coloniale 
colon;colonel
combi;combinaison
combinaise;combinaison 
combine;combinaison
come;commerce 
comif;comme il faut
comm;commandant
comm';commission
comme d'hab;comme d'habitude
compo;composition
compose;composition
compta;comptabilité
compte;comptoir 
compète;compétition
condice;condition
conf;confiance
confémili;conférence militaire
conso;consommation
consomme;consommation 
constates;constatations 
consulte;consultation de médecine
contre-app;contre-appel
convalo;convalescence
converse;conversation
convoc;convocation
coop;coopérative
cop;copain
copar;coopérative parisienne
copé;coopérative 
cora;coralie
corbi;corbillard
cory;corydrane
cosmo;cosmographie
cour de cass';cour de cassation
couve;couverture 
cracra;sale
crade;sale
